Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
daudkandi200btrac,HSD,IPP,154*1.4,0,0,,,Contract Expired,,Cumilla,,,
fenilankapower,HFO,IPP,7*18.415+1*9.78,114,114,,,,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,45,,Fuel shortage,,Cumilla,,,
bhairob545,HFO,IPP,3*18.2,54,54,,37,Engine problem,,Cumilla,,,
chandpur115doreen,HFO,IPP,4*18.5+2*22.5,115,115,73,,Fuel shortage,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,137,,Gas shortage,,Mymensingh,,,
tangail22doreen,Gas,"SIPP, PDB",8*2.90,22,22,,,Contract Expired,,Mymensingh,,,
jamalpur95powerpac,HFO,IPP,0,95,0,,,,,Mymensingh,,,
sarishabari3solarplant,Solar,IPP,1*3,3,3,,,,,Mymensingh,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,191,,Fuel shortage,,Mymensingh,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,46,,Fuel shortage,,Mymensingh,,,
sutiakhali50solar,Solar,IPP,50,50,50,,,,,Mymensingh,,,
tangailpallipowergen22,HFO,IPP,4*6.7,22,22,16,,Fuel shortage,,Mymensingh,,,
fenchugonjphase1,Gas,PDB,2*32+1*33,97,70,,35,Machine problem.,,Sylhet,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,50,Machine problem,,Sylhet,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,,,,,Sylhet,,,
shajibazar330,Gas,PDB,3*110,330,330,,330,Under maint.,,Sylhet,,,
fenchugonj51barakatullah,Gas,RPP ,19*2.90,51,51,51,,Gas shortage,,Sylhet,,,
fenchuganj44energyprima,Gas,NENP,12*3.3+5*2,50,50,45,,Gas shortage,,Sylhet,,,
hobiganj11cofidencee,Gas,"SIPP, REB",4*2.90,11,11,,,Contract Expired,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,33,GT-9 Under maint.,,Sylhet,,,
shahjibazar86shahjibazar,Gas,RPP ,32*2.90,86,86,,,Contract Expired,,Sylhet,,,
shahjibazar100g,Gas,PDB,1*100,100,100,,100,Under maint.,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,21,machine problem,,Sylhet,,,
sylhet20g,Gas,PDB,1*20,20,20,5,,Gas shortage,,Sylhet,,,
sylhet50epl,Gas,NENP,27*2,0,0,,,Contract Expired,,Sylhet,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,8,,Gas shortage,,Sylhet,,,
bibianaii341summit,Gas,IPP,1*222+1*119,341,341,,,FGMO,,Sylhet,,,
bibiyanaiii400,Gas,PDB,285*1+134*1,400,400,,,,,Sylhet,,,
sylhet10desh,Gas,RPP ,6*1.95,10,10,,,,,Sylhet,,,
bibiyanasouth400,Gas,PDB,400 MW,383,383,,,FGMO,,Sylhet,,,
bheramarag3,HSD,PDB,1*20,20,16,16,,Fuel conservation,,Khulna,,,
bheramarahvdc,0,Imported power,2*500,1000,1000,,,,,Khulna,,,
khulna115kpcl2,HFO,NENP,7*17,115,115,115,,Fuel shortage,,Khulna,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,1,,,,Khulna,,,
khulna225,HSD,NWPGCL,1*150+1*75,230,230,230,,Fuel shortage,,Khulna,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,,39,Engine problem,,Khulna,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,410,,Gas shortage,,Khulna,,,
noapara40khanjahanali,HFO,NENP,5*8.5,40,40,40,,Fuel shortage,,Khulna,,,
noapara100banglatrac,HSD,IPP,70*1.4,0,0,,,,,Khulna,,,
rupsha105orionrupsha,HFO,IPP,6*18.445,105,105,55,,Fuel shortage,,Khulna,,,
madhumati100,HFO,NWPGCL,6*18,105,105,105,,Fuel shortage,,Khulna,,,
monglaorion100solar,Solar,IPP,100,100,100,,,,,Khulna,,,
khulna330,Gas/HSD,BPDB,1*220+1*110,336,336,336,,Fuel shortage,,Khulna,,,
rampal1320bifpcl,Coal,NTPC&BPDB,660*2,617,617,,330,Coal Shortage.,,Khulna,,,
kulna225,Gas,NWPGCL,0,0,0,,,On test.,,Khulna,,,
barisal110summit,HFO,IPP,7*17.076,110,110,94,,Fuel shortage,,Barisal,,,
bhola33venture,Gas,NENP,1*34.50,40,40,,33,Engine problem,,Barisal,,,
