Name of the Power Station,Fuel,Producer ,     Installed Capacity,, Capacity,"for Fuel
",for plant. S/D,Shut down (date)/,Start up,Area,,,
gazipur100,HFO,RPCL,100 MW,105,105,,,Engine problem,2021-08-31 00:00:00,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,67,,Low water level & Unit-3 S/D,,Chattogram,,,
sikalbaha105barakasikalbaha,HFO,IPP,105 MW,105,105,,16,Engine problem,,Chattogram,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,67,,Gas shortage,2021-09-01 00:00:00,Mymensingh,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,,2,,,Rajshahi,,,
natore52rajlanka,HFO,IPP,52,52,52,27,,Engine problem,,Rajshahi,,,
barapukuria2753,Coal,PDB,1*275,274,274,114,,Coal Shortage,,Rangpur,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,30,,Fuel shortage,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,12,,Fuel shortage,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,41,,,Chattogram,,,
adanipowerjharkhanda,Coal,Imported power,748*2,1496,1496,956,,,,Rajshahi,,,
manikgonj162mpgl,HFO,IPP,9*18,162,162,,0,,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,141,,Low water lavel,,Chattogram,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,28,,,Cumilla,,,
fenilankapower,HFO,IPP,7*18.415+1*9.78,114,114,,9,,,Cumilla,,,
amnura50sinha,HFO,QRPP,7*7.79,50,50,,15,,,Rajshahi,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,,163,,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,231,replacement of filter,,Sylhet,,,
ashuganj450north,Gas,APSCL,1*360,360,360,,0,,,Cumilla,,,
fenilankapower,HFO,IPP,7*18.415+1*9.78,114,114,,18,Engine problem,,Cumilla,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,,0,Engine problem,,Rajshahi,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,13,Machine Problem,,Cumilla,,,
fenilankapower,HFO,IPP,7*18.415+1*9.78,114,114,,,On test,,Cumilla,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,90,,GT-2 S/D due to  Gas shortage,,Dhaka,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,,16,Engine problem,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,164,Low Water Level ,,Chattogram,,,
sylhet20g,Gas,PDB,1*20,20,20,,,Bad weather,,Sylhet,,,
sylhet50epl,Gas,RPP ,27*2,50,50,,,Bad weather,,Sylhet,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,,,Bad weather,,Sylhet,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,69,STG Under S/D,,Cumilla,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,70,Machine problem.,,Sylhet,,,
shajibazar330,Gas,PDB,3*110,330,330,,180,GT-1 under maintenance.,,Sylhet,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,,50,Fuel shortage,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,,50,Fuel shortage,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,,8,Fuel shortage,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,118,Low Water Level ,,Chattogram,,,
ashuganj450south,Gas,APSCL,1*360,360,360,55,,Gas shortage,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,,22,Engine problem,,Cumilla,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,,54,ST under maint.,,Sylhet,,,
ghorasalgt3,Gas,PDB,1*210,210,170,,70,On test.,,Dhaka,,,
ghorasalst7,Gas,PDB,1*243+1*122,365,365,,365,,,Dhaka,,,
ashuganjst5,Gas,APSCL,1*150,150,134,-1,,Gas shortage,,Cumilla,,,
haripur412,Gas,EGCB,1*273+1*139,412,412,107,,Gas shortage,,Dhaka,,,
keraniganj100powerpac,HFO,QRPP,8*13.45,100,100,,45,Engine problem,,Dhaka,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,127,Machine problem.,,Barisal,,,
sirajgonj2252,Gas/HSD,NWPGCL,1*150+1*75,220,220,54,,Gas shortage,,Rajshahi,,,
meghnaghatuniquepower,Gas,IPP,586,584,584,234,,Gas shortage,,Dhaka,,,
rampal1320bifpcl,Coal,NTPC&BPDB,617*2,1234,1234,617,,GT-1 S/D,,Khulna,,,
barapukuria1,Coal,PDB,1*125,125,85,,14,Machine problem,,Rangpur,,,
barapukuria2753,Coal,PDB,1*275,274,274,,118,Machine problem,,Rangpur,,,
keraniganj100powerpac,HFO,NENP,8*13.45,100,75,,20,Engine problem,,Dhaka,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,54,,,,Chattogram,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,12,Machine problem,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,149,,Fuel shortage,,Cumilla,,,
khulna115kpcl2,HFO,NENP,7*17,115,115,,29,Engine problem,,Khulna,,,
energypacpowerventurethakurgaon,HFO,IPP,115,115,115,23,,Fuel shortage,,Rangpur,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,,8,,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,120,,Gas shortage,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,106,,Gas shortage,,Dhaka,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,2,,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,33,ST under S/D,,Cumilla,,,
feni11doreen,Gas,"SIPP, REB",4*2.90,11,11,,0,Engine problem,,Cumilla,,,
shajibazar330,Gas,PDB,3*110,330,330,,65,ST under maint,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,6,Machine problem,,Sylhet,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,90, under  maint.,,Sylhet,,,
ashuganj450north,Gas,APSCL,1*360,360,360,55,,Gas shortage,,Cumilla,,,
bibiyanaiii400,Gas,PDB,285*1+134*1,400,400,,90,,,Sylhet,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,9,,Fuel shortage,,Khulna,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,128,"ST, GT-1 Under maint.",,Barisal,,,
ghorasalgt4,Gas,PDB,1*210,210,180,,180,,,Dhaka,,,
siddhirgonjgt12,Gas,EGCB, 2*105,210,210,50,,,,Dhaka,,,
barapukuria3,Coal,PDB,1*275,274,274,74,,,,Rangpur,,,
juldah1003acorn,HFO,IPP,8*13.5,100,100,,12,Engine problem,,Chattogram,,,
shahjibazar86shahjibazar,Gas,RPP ,32*2.90,86,86,75,,Gas shortage,,Sylhet,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,,18,Engine problem,,Dhaka,,,
madanganj102summit,HFO,NENP,6*17,102,102,72,,Fuel shortage,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,0,,Fuel shortage,,Dhaka,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,40,,Fuel shortage,,Chattogram,,,
rampal1320bifpcl,Coal,NTPC&BPDB,660*2,617,617,247,,Coal shortage,,Khulna,,,
barisal110summit,HFO,IPP,7*17.076,110,110,0,,Fuel shortage,,Barisal,,,
energypacpowerventurethakurgaon,HFO,IPP,115,115,115,0,,,,Rangpur,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,,,,2021-10-02 00:00:00,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,,110,ST under shut down,,Dhaka,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,38,,Gas shortage,,Cumilla,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,90, under S/D ,,Sylhet,,,
shahjibazarg89,Gas,PDB,2*35,70,66,,31,Engine problem,,Sylhet,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,95,Line O/L.,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217,217,217,,,ST Not Sure,,Dhaka,,,
ashuganj450south,Gas,APSCL,1*360,360,360,,,Full load test,,Cumilla,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,,132,STG under maint.,,Rajshahi,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,22,22,5,,Gas shortage,,Chattogram,,,
mirsharai150,HFO,BPDB-RPCL,18.5*9,163,163,109,,Fuel shortage,,Chattogram,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,125,Gas shortage,,Cumilla,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,163,,Fuel shortage,,Mymensingh,,,
ghorashal78max,Gas,QRPP,2*40,78,78,8,,Gas shortage,,Dhaka,,,
ghorashalregent,Gas,IPP,34*3.35,108,108,8,,Gas shortage,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217,217,217,,,Gas shortage,,Dhaka,,,
kaptaihydro12345,Hydro,PDB,2*40+3*50,230,230,,130,Low water lavel,,Chattogram,,,
ashuganjenginestsk,Gas,APSCL,14*3.968,53,45,18,,Gas Shortage,,Cumilla,,,
ashuganj195modular,Gas,IPP,20*9.73+1*16,195,195,45,,Gas shortage,,Cumilla,,,
madhumatipowerplant,HFO,IPP,100 MW,0,0,,,On Test,,Khulna,,,
baghabarigt71,Gas,PDB,1*71,71,71,11,,Gas shortage,,Rajshahi,,,
baghabarigt100,Gas,PDB,1*100,100,100,100,,Gas shortage,,Rajshahi,,,
sirajgonj4414,Gas,SNWPGCL,1*282,282,282,,,,,Rajshahi,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,85,,Gas shortage,,Dhaka,,,
anwara300ed,HFO,IPP,17*17+24,300,300,15,,Engine problem,,Chattogram,,,
juldah2acorn,HFO,IPP,8*13.6,100,100,,50,Engine problem,,Chattogram,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,86,Under maint.,,Sylhet,,,
faridpur50peaking,HFO,PDB,8*6.89,54,54,38,,Fuel shortage,,Khulna,,,
bhola95aggreko,Gas,QRPP,96*1.10,95,95,,14,Engine problem,,Barisal,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,30,,Machine problem,,Dhaka,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,,,Dirty fuel,,Dhaka,,,
siddhirganj100dutchbangla,HFO,NENP,12*8.9,100,100,0,,Fuel shortage,,Dhaka,,,
kodda150,HFO,BPDB-RPCL,9*17.06,149,149,,39,Fuel shortage,,Dhaka,,,
keranigonj300apr,HSD,IPP,256*1.4,300,300,,,Transformer problem,,Dhaka,,,
kanchanpurbachalpowergeneration,HFO,IPP,18.4*3,55,55,,,Engine problem,,Dhaka,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,,,Fuel shortage,,Chattogram,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,0,,,,Cumilla,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,,Machine problem,,Sylhet,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,135,,Gas shortage,,Khulna,,,
sirajgonj4004,Gas/HSD,SNWPGCL,1*282+1*132,414,414,4,,,,Rajshahi,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,,,Engine problem,,Rangpur,,,
madanganj102summit,HFO,QRPP ,6*17,102,0,,37,Engine problem,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,155,Low Water Level ,,Chattogram,,,
shajibazar330,Gas,PDB,3*110,330,330,90,,GT-2 S/D for Gas shortage,,Sylhet,,,
siddhirgonjgt12,Gas,EGCB, 2*105,210,210,95,,Gas shortage,,Dhaka,,,
chattogramst1raozan,Gas,PDB,1*210,210,180,45,,Gas shortage,,Chattogram,,,
jamalpur95,HFO,IPP,12*8.924,95,95,,5,Enjgine problem,,Mymensingh,,,
fenchugonj2,Gas,PDB,!F71,104,90,,,Under maint,,Sylhet,,,
sylhetepl50,Gas,RPP ,27*2,50,50,,3,,,Sylhet,,,
bograepl,Gas,RPP ,5*3.3+5*2,20,10,,,Engine problem,,Rajshahi,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,110,,Low water level & Unit-2 S/D,,Chattogram,,,
mymensingh200ed,HFO,IPP,200,200,200,,30,Engine problem,,Mymensingh,,,
bhola95aggreko,Gas,QRPP,96*1.10,95,95,4,,Gas shortage,,Barisal,,,
katakhali50northern,HFO,QRPP,6*8.9,50,50,,0,,,Rajshahi,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,,100,Gas shortage,,Cumilla,,,
sirajgonj2253,Gas/HSD,NWPGCL,1*141,220,220,55,,Gas shortage,,Rajshahi,,,
meghnaghat104opcl,HFO,IPP,18.5*6,104,104,37,,Fuel shortage,,Dhaka,,,
ashuganj450north,Gas,APSCL,1*360,360,360,10,,Gas shortage,,Cumilla,,,
ashuganj420east,Gas,APSCL,284*1+116*1,400,400,35,,Gas shortage,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,78,,Gas shortage,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,260,,Start up process,,Cumilla,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,,13,Engine problem,,Cumilla,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,64,,fuel shortage,,Chattogram,,,
sspoweri,Coal,SS Power ,2*612,1224,1224,,674,Madunaghat Transformer Limitation,,Chattogram,,,
ashuganj51midland,Gas,IPP,6*9.34,51,51,,8,,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,,Engine problem,,Cumilla,,,
chandpur200deshenergy,HFO,IPP,12*18.4,200,200,132,,Engine problem,,Cumilla,,,
chowmuhani113,HFO,IPP,12*9.78+2*3.1,113,113,8,,Engine problem,,Cumilla,,,
bibiyanasouth400,Gas,PDB,400 MW,383,383,,148,Machine problem,,Sylhet,,,
santahar50peaking,HFO,PDB,6*8.7,50,50,28,,Engine problem,,Rajshahi,,,
ullapara11summit,Gas,"SIPP, REB",4*2.90,11,11,,11,engine problem,,Rajshahi,,,
meghnaghatsummit,HSD,IPP,2*110+1*110,305,305,,,Under Maint.,,Dhaka,,,
ashuganjsouth,Gas,APSCL,1*360,360,360,,360,,,Cumilla,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,71,ST under maint,,Cumilla,,,
ashuganj450north,Gas,APSCL,1*360,360,360,40,,,,Cumilla,,,
ashuganj55precision,Gas,QRPP,15*4,55,55,,4,,,Cumilla,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,8,,,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,,7,Engine problem,,Cumilla,,,
shahjahanulla25,Gas,"SIPP, REB",3*9.34,25,25,1,,,,Sylhet,,,
bibiyanaiii400,Gas,PDB,400 MW,400,400,,120,ST start up process,,Sylhet,,,
bhola225,Gas,PDB,2*63+1*68,194,194,108,,Gas shortage ,,Barisal,,,
baghabari71g,Gas,PDB,1*71,71,71,6,,Gas shortage,,Rajshahi,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,100,GT-2 Under maint.,,Barisal,,,
chattogram1,Gas,PDB,1*210,210,180,80,,Under shut down.,,Chattogram,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,90,GT-3 under S/D,,Sylhet,,,
kushiara163kp,Gas,IPP,1*109+1*54,163,163,,53,Engine problem,,Sylhet,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,50,,Gas shortage,,Khulna,,,
meghnaghat450mpl,Gas,IPP,2*150+1*150,450,450,150,,Gas problem ,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,55,,FGMO,,Dhaka,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,,,Engine problem,,Dhaka,,,
chandpur200deshenergy,HFO,IPP,0,200,200,,30,Engine problem,,Cumilla,,,
bhairob545,HFO,IPP,3*18.2,54,54,,17,Engine problem,,Cumilla,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,6,,,Sylhet,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,128,GT-2 under maint,,Barisal,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,38,,,,Dhaka,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,,8,engine problem,,Cumilla,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,77,Machine problem,,Cumilla,,,
bholanutanbiddutbd,Gas,IPP,220,220,220,,110,GT-2 under maint,,Barisal,,,
adanipowerjharkhanda,Coal,Imported power,748*2,1496,1496,,,Unit-2 shut down,,Rajshahi,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,,Gas shortage,,Dhaka,,,
shahjibazar86shahjibazar,Gas,RPP ,32*2.90,86,86,,3,Engine problem,,Sylhet,,,
siddhirgonjgt12,Gas,EGCB, 2*105,210,210,148,,Gas shortage,,Dhaka,,,
bosila108,HFO,IPP,12*8.775+1*3.5,108,108,,52,Engine problem,,Dhaka,,,
kaptaihydro12345,Hydro,PDB,2*40+3*50,230,230,,194,Low water lavel,,Chattogram,,,
ashuganjnorth,Gas,APSCL,1*360,360,360,,0,,,Cumilla,,,
ashuganjprecision55,Gas,RPP ,15*4,55,55,45,,Gas shortage,,Cumilla,,,
mymensinghrpcl210,Gas,IPP,4*35+1*70,210,202,48,,Gas shortage,,Mymensingh,,,
edjamalpurl,HFO,IPP,115 MW,115,115,,23,Engine problem,,Mymensingh,,,
sylhetepl50,Gas,RPP ,27*2,50,50,,7,Engine problem,,Sylhet,,,
ghorasalrepowered4,Gas,PDB,1*210,210,180,,,Line O/L,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,120,,Gas shortage,,Dhaka,,,
gagnagar102digitalpower,HFO,IPP,12*8.924,102,102,86,,Engine problem,,Dhaka,,,
keranigonj300apr,HSD,IPP,256*1.4,300,300,,150,Fuel conservation,,Dhaka,,,
kodda1491summit,HFO,IPP,8*18.45+8.97,149,149,59,,Fuel shortage,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,75,,Low Water Level ,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,34,,Fuel shortage,,Chattogram,,,
juldah1003acorn,HFO,IPP,8*13.5,100,100,24,,Fuel shortage,,Chattogram,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,365,,ST under Main. & Gas shortage,,Dhaka,,,
haripur360hpl,Gas,IPP,1*235+1*125,360,360,25,,Gas shortage,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,118,,Gas shortage,,Dhaka,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,,5,Engine problem,,Dhaka,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,0,,,,Chattogram,,,
hathazari100peaking,HFO,PDB,11*8.9,98,98,,32,Engine problem,,Chattogram,,,
juldah1001acorn,HFO,NENP,8*13.45,100,100,24,,Fuel shortage,,Chattogram,,,
chattogram108ecpv,HFO,IPP,16*7,108,108,52,,DCT & Fuel shortage,,Chattogram,,,
ashuganj5,Gas,APSCL,1*150,150,134,,,Contract Expired,,Cumilla,,,
mymensingh200ed,HFO,IPP,9.78*21,200,200,,35,Engine problem,,Mymensingh,,,
tangailpallipowergen22,HFO,IPP,4*6.7,22,22,,3,Engine problem,,Mymensingh,,,
fenchugonjphase1,Gas,PDB,2*32+1*33,97,70,,34,Machine problem.,,Sylhet,,,
sylhet225,Gas,PDB,1*142+1*89,231,231,,23,Machine problem,,Sylhet,,,
bhola33venture,Gas,NENP,1*34.50,40,40,,4,Engine problem,,Barisal,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,36,,Gas shortage,,Rajshahi,,,
confidencepowerbogura1113,HFO,IPP,6*18.55,113,113,,36,Fuel shortage,,Rajshahi,,,
barapukuria2753,Coal,PDB,1*275,274,274,34,,Coal Shortage.,,Rangpur,,,
kodda1491summit,HFO,IPP,8*18.45+8.97,149,149,53,,Fuel shortage,,Dhaka,,,
summitmeghanghat2589,Gas,IPP,589,583,583,83,,,,Dhaka,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,410,,under maint,,Khulna,,,
barapukuria1,Coal,PDB,1*125,125,85,,17,,,Rangpur,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,55,,,,Dhaka,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*75,225,225,5,,Gas shortage,,Chattogram,,,
gopalganj100peaking,HFO,PDB,16*6.98,109,109,,89,Engine problem,,Khulna,,,
baghabari50peaking,HFO,PDB,6*8.9,52,52,20,,Fuel shortage,,Rajshahi,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,115,Gas shortage,,Dhaka,,,
ashuganj50,Gas,APSCL,14*3.968,53,45,35,,Gas Shortage,,Cumilla,,,
barabkunda22regent,Gas,"SIPP, PDB",8*2.90,22,22,9,,Gas shortage,,Chattogram,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,45,,Gas shortage,,Cumilla,,,
chapainawabganj100peaking,HFO,PDB,12*8.924,104,104,22,,Fuel shortage,,Rajshahi,,,
bagura113confidence2,HFO,IPP,6*18.55+7.2,113,113,56,,Fuel shortage,,Rajshahi,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,78,,Gas shortage,,Dhaka,,,
bibiyanasouth400,Gas,PDB,400 MW,383,383,,173,ST Under S/D.,,Sylhet,,,
bholanutanbiddutbd,Gas,IPP,220,220,220,,40,,,Barisal,,,
summitmeghanghat2589,Gas,IPP,589,583,583,283,,Gas shortage,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,61,Unit-1 Under maint.,,Chattogram,,,
matarbari2600cpgcl,Coal,CPGCL,2*575,1150,1150,750,,Coal shortage,,Chattogram,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,27,,Gas shortage,,Cumilla,,,
ashuganj450north,Gas,APSCL,1*360,360,360,,50,FGMO,,Cumilla,,,
ashuganj55precision,Gas,QRPP,0,55,55,40,,Gas shortage,,Cumilla,,,
ashuganj150midland,HFO,IPP,23*7.015,150,150,60,,Engine problem,,Cumilla,,,
chandpur115doreen,HFO,IPP,4*18.5+2*22.5,115,115,,23,Engine problem,,Cumilla,,,
kodda1491summit,HFO,IPP,8*18.45+8.97,149,149,,99,Engine problem,,Dhaka,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,77,,Low Water Level ,,Chattogram,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,116,,Gas shortage,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,320,,Gas shortage,,Cumilla,,,
titas50peaking,HFO,PDB,6*8.92,52,52,,7,,,Cumilla,,,
jamalpur115ed,HFO,IPP,9.78*12,115,115,,27,Engine problem,,Mymensingh,,,
fenchugonjphase2,Gas,PDB,2*35+1*35,104,90,,70,under maint,,Sylhet,,,
fenchuganj44energyprima,Gas,NENP,12*3.3+5*2,50,50,5,,,,Sylhet,,,
sylhet50epl,Gas,NENP,27*2,50,50,26,,Gas shortage,,Sylhet,,,
sirajgonj2251,Gas/HSD,NWPGCL,1*150+1*75,210,210,33,,Gas shortage,,Rajshahi,,,
kodda3002summit,HFO,IPP,18*17.076,300,300,200,,Fuel shortage,,Dhaka,,,
rangpur113confidence,HFO,IPP,9*6.984+7*7.015+3.15*2,113,113,49,,Fuel shortage,,Rangpur,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,,11,,,Dhaka,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,125,,Gas shortage,,Dhaka,,,
bibiyanaiii400,Gas,PDB,285 MW,285,285,,285,Under maint.,,Sylhet,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,129,GT-2 & STG under maint.,,Barisal,,,
baghabari71g,Gas,PDB,1*71,71,71,71,,Under S/D,,Rajshahi,,,
rampal1320bifpcl,Coal,NTPC&BPDB,660*2,617,617,217,,Coal shortage,,Khulna,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,73,STG  under maint,,Cumilla,,,
shajibazar330,Gas,PDB,3*110,330,330,,180,GT-1 Under maint.,,Sylhet,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,114,GT-2 under maint.,,Barisal,,,
ghorashal108regent,Gas,IPP,34*3.35,108,108,88,,Gas shortage,,Dhaka,,,
meghnaghatsummit,Gas,IPP,2*110+1*110,305,305,,0,"FGMO, ",,Dhaka,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,205,,Gas shortage,,Khulna,,,
ghorasalst5,Gas,PDB,1*210,210,190,0,,,,Dhaka,,,
siddhirganj335,Gas,EGCB,1*217+118,335,335,110,,Gas shortage,,Dhaka,,,
bibiyanasouth400,Gas,PDB,400 MW,383,383,33,,Gas shortage,,Sylhet,,,
bheramara410,Gas,NWPGCL,1*278+1*132,410,410,5,,,,Khulna,,,
ashuganj195apscled,Gas,IPP,20*9.73+1*16,195,195,103,,Gas shortage,,Cumilla,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,129,"ST, GT-1 Under maint.",,Barisal,,,
ghorasal3657,Gas,PDB,1*243+1*122,365,365,,145,,,Dhaka,,,
haripur412,Gas,EGCB,1*273+1*139,412,400,,40,DP High,,Dhaka,,,
shahjibazarg89,Gas,PDB,2*35,70,66,8,,Fuel shortage,,Sylhet,,,
shahjibazar86shahjibazar,Gas,RPP ,32*2.90,86,86,44,,Fuel shortage,,Sylhet,,,
bibiyanaiii400,Gas,PDB,285*1+134*1,400,400,,20,Machine problem,,Sylhet,,,
bhola225,Gas,PDB,2*63+1*68,194,194,,124,Machine problem,,Barisal,,,
ashuganj225,Gas,APSCL,1*142+1*75,221,221,,75,ST under maint,,Cumilla,,,
ashuganj450south,Gas,APSCL,1*360,360,360,,360,Under  maint.,,Cumilla,,,
rangpur113confidence,HFO,IPP,113 MW,113,113,,13,Engine problem,,Rangpur,,,
bosila108,HFO,IPP,12*8.775+1*3.5,108,108,,76,Engine problem,,Dhaka,,,
sikalbaha225,Gas/HSD,PDB,1*150+1*175,225,225,,225,Under S/D,,Chattogram,,,
juldahacorn,HFO,QRPP,8*13.45,100,100,,25,Engine problem,,Chattogram,,,
ashuganjst4,Gas,APSCL,1*150,150,129,,,Gas shortage,,Cumilla,,,
ashuganjst5,Gas,APSCL,1*150,150,134,,,Gas shortage,,Cumilla,,,
ashuganjnorth,Gas,APSCL,1*360,360,360,,100,ST under maint.,,Cumilla,,,
ashuganj195modular,Gas,IPP,20*9.73+1*16,195,195,132,,Gas Shortage,,Cumilla,,,
sylhetgt150,Gas,PDB,1*142,142,142,,142,Under Maint.,,Sylhet,,,
karnaphulihydro12345,Hydro,PDB,2*40+3*50,230,230,,153,"Low Water Level & Unit 2 & 4,5  U/M.",,Chattogram,,,
chandpur150,Gas,PDB,1*106+1*57,163,163,,163,,,Cumilla,,,
rpcl210,Gas,IPP,4*35+1*70,210,202,0,,,,Mymensingh,,,
siddhirgonj2120g,Gas,EGCB, 2*105,210,210,140,,Gas shortage,,Dhaka,,,
meghnaghat100iel,HFO,NENP,12*8.9,100,100,45,,Fuel shortage,,Dhaka,,,
sikalbaha105barakasikalbaha,HFO,IPP,6*17.5,105,105,65,,Fuel shortage,,Chattogram,,,
bibiyanaiii400,Gas,PDB,285*1+134*1,400,400,,,Machine tripped at 21:27.,,Sylhet,,,
